County,Race,Age,Gender,Education Level,Employment Status,Income Level,Prior Convictions,Risk Score,Judge Decision,Re-offense
Copiah County,White,27,Male,Some College,Unemployed,33554.8246837852,2,6.019560417961435,1,0
Copiah County,White,29,Male,Less than High School,Unemployed,35409.7328064123,0,3.858365178352997,1,0
Copiah County,Black,75,Female,High School,Unemployed,72103.78795107451,1,2.1180744779074816,1,0
Copiah County,Black,45,Female,Less than High School,Employed,34458.28099980592,0,6.679165151766904,0,0
Copiah County,Black,50,Male,High School,Employed,15011.117908076714,1,8.890148557270145,0,1
Copiah County,Black,46,Female,Less than High School,Employed,15561.333787027763,2,4.578456381342266,1,0
Copiah County,White,44,Male,Master's Degree,Employed,74951.59935255088,0,7.240561189464732,0,0
Copiah County,White,61,Female,Some College,Unemployed,35707.905681110824,1,3.277589048806755,1,0
Copiah County,White,74,Female,High School,Unemployed,15739.225258498605,2,8.53756819281953,0,0
Copiah County,Black,51,Male,Some College,Employed,72236.16839923486,4,8.313558729749918,0,0
Copiah County,Black,28,Male,Less than High School,Employed,34211.56033931832,3,5.890743533297124,0,0
Copiah County,White,51,Male,Bachelor's Degree,Employed,74209.32056698235,2,9.346588640141691,0,1
Copiah County,White,75,Female,Some College,Unemployed,34726.39862488591,2,7.450299268273738,0,1
Copiah County,White,65,Male,Less than High School,Employed,14866.531612898318,4,4.750242898164595,1,1
Copiah County,Black,59,Male,High School,Unemployed,15611.416503834831,5,8.078762663529792,0,1
Copiah County,White,55,Female,PhD,Employed,35749.11425563399,1,5.214595922700063,1,0
Copiah County,White,27,Male,Less than High School,Unemployed,35377.66824931746,1,4.128157901374185,0,0
Copiah County,Black,55,Female,Some College,Unemployed,14714.059076794174,1,8.603881014502697,0,0
Copiah County,White,33,Female,Bachelor's Degree,Employed,77428.4278816597,0,5.454865280663195,0,0
Copiah County,White,46,Female,Bachelor's Degree,Employed,78412.95383613741,2,1.0475793833391538,1,0
Copiah County,White,25,Male,Bachelor's Degree,Employed,77408.98711912669,0,4.0434832420091205,1,0
Copiah County,White,61,Male,PhD,Employed,33255.47786817016,1,8.178753193974964,0,0
Copiah County,White,34,Male,Some College,Employed,35477.40479564192,1,2.9517600374566744,1,0
Copiah County,White,18,Female,Master's Degree,Employed,71633.51536081576,2,5.697277187401389,1,0
Copiah County,White,26,Female,Less than High School,Employed,73182.05415250291,1,5.8271672143815145,1,0
Copiah County,White,67,Male,Master's Degree,Employed,119494.05875434713,1,5.257846110464369,1,0
Copiah County,Other,47,Male,Bachelor's Degree,Employed,75778.4658971204,1,4.514393488629756,1,0
Copiah County,White,32,Male,Less than High School,Unemployed,35653.06469722412,0,5.5392871686083,0,0
Copiah County,Black,42,Female,Some College,Unemployed,14421.731457098858,1,6.364403698830454,1,1
Copiah County,White,66,Male,Less than High School,Employed,14825.758324567469,2,4.54072880231897,1,0
Copiah County,White,55,Female,Some College,Unemployed,14934.354763433312,2,8.568736934417611,0,0
Copiah County,Black,31,Female,Less than High School,Employed,34541.68557616321,3,6.244389431256029,0,0
Copiah County,White,29,Female,High School,Unemployed,72157.68750363894,1,4.974173829087325,1,0
Copiah County,White,69,Male,Less than High School,Employed,14878.421685281211,1,4.597834160651002,1,0
Copiah County,White,52,Female,High School,Employed,128139.72559760523,0,4.991615875116833,1,0
Copiah County,White,25,Male,Some College,Unemployed,33498.52682586639,1,0.9946943541561132,1,0
Copiah County,White,72,Female,Some College,Employed,14370.270021122855,0,7.4771229918560245,1,1
Copiah County,White,45,Female,Bachelor's Degree,Employed,14782.156937753976,3,7.894162638780757,0,1
Copiah County,White,35,Male,Less than High School,Unemployed,78312.94283714193,4,2.9391028406384243,1,0
Copiah County,White,36,Male,High School,Unemployed,35590.004263530194,0,5.115850098052217,1,0
Copiah County,Black,71,Female,High School,Employed,76340.02467504423,4,5.135093650867644,0,1
Copiah County,White,25,Male,Less than High School,Employed,14792.879986256796,0,4.545304009772045,1,1
Copiah County,White,73,Female,Less than High School,Unemployed,15140.491186812807,4,5.849535137551765,0,1
Copiah County,White,51,Female,High School,Employed,71325.98388020806,3,4.10068793257139,1,0
Copiah County,Black,31,Male,Less than High School,Unemployed,15204.144069614313,2,10.006272517160175,1,0
Copiah County,White,26,Male,Bachelor's Degree,Employed,78099.65210682177,1,5.356489841188322,1,0
Copiah County,Black,56,Female,High School,Employed,35394.007139206864,4,8.253909810590311,0,0
Copiah County,White,46,Male,High School,Unemployed,36307.94507713221,2,4.66293442708143,1,0
Copiah County,White,51,Female,High School,Employed,76679.7979159957,2,3.656454997920344,1,0
Copiah County,White,44,Female,Some College,Unemployed,33671.95445741291,5,4.113935422565053,0,0
Copiah County,White,66,Male,Some College,Employed,15603.679960928763,5,4.526511310541622,0,0
Copiah County,Other,49,Male,Bachelor's Degree,Employed,14349.66576653366,0,5.085775581273464,1,1
Copiah County,White,56,Male,Less than High School,Unemployed,15050.951208821643,1,7.616322337994942,0,0
Copiah County,Black,52,Male,High School,Unemployed,33747.4799332771,3,6.090569013451056,0,0
Copiah County,White,30,Female,Some College,Employed,14267.559916096356,2,4.888169926206522,0,0
Copiah County,White,66,Male,Some College,Unemployed,34727.11991044674,3,2.0573152873769414,1,0
Copiah County,Black,26,Female,Less than High School,Employed,73462.80530740616,1,6.941554046688124,0,0
Copiah County,White,75,Female,Less than High School,Employed,34951.00172829161,2,6.054740147179123,1,0
Copiah County,White,29,Male,Bachelor's Degree,Employed,35270.19960357093,3,5.441464808776525,1,1
Copiah County,White,69,Female,Less than High School,Unemployed,14315.60860846342,4,5.86332316536093,1,1
Copiah County,White,18,Female,Less than High School,Unemployed,14434.504942685619,0,2.1844762255295658,1,0
Copiah County,Black,32,Male,Some College,Unemployed,125733.02995563032,0,9.729631155520915,1,0
Copiah County,Black,37,Female,High School,Unemployed,14764.751029758987,4,5.6349493617471555,0,0
Copiah County,Black,59,Male,Less than High School,Employed,15343.760231324171,2,2.7416167805250993,1,0
Copiah County,Black,38,Male,High School,Unemployed,15228.43747288791,2,3.6806224011019415,0,1
Copiah County,Black,22,Female,Less than High School,Employed,15518.40654448486,1,6.32551055591217,0,1
Copiah County,White,18,Female,Some College,Unemployed,35673.72489334228,0,1.8377771843023714,0,0
Copiah County,White,69,Male,Some College,Unemployed,34754.75877086551,4,8.29281083746617,0,0
Copiah County,Black,27,Female,Bachelor's Degree,Employed,127162.08277993041,1,4.571188648460229,0,0
Copiah County,White,30,Male,High School,Employed,14663.071761383126,1,4.818975630293761,0,0
Copiah County,Black,31,Male,High School,Unemployed,14709.470248167318,2,4.275900248775564,1,1
Copiah County,White,44,Female,High School,Employed,36011.44805972278,3,7.237235097177321,0,1
Copiah County,Black,48,Female,Bachelor's Degree,Employed,124330.24395501976,1,6.377362179106724,0,0
Copiah County,White,35,Male,Some College,Employed,36044.33119181423,2,5.7382257297280805,1,0
Copiah County,White,27,Female,Some College,Employed,36128.478307838974,1,2.770898896572994,1,0
Copiah County,White,27,Male,Less than High School,Unemployed,36251.46818181449,4,2.07869486614566,1,1
Copiah County,Black,69,Female,Some College,Employed,36458.223325444225,2,4.103154277423907,0,0
Copiah County,White,58,Female,Master's Degree,Employed,74482.38915384971,3,7.528460818937875,0,0
Copiah County,Black,56,Female,High School,Employed,14728.300227481706,2,5.235071043803886,0,0
Copiah County,Black,19,Male,Some College,Unemployed,15123.29811989117,0,8.485569488615758,0,0
Copiah County,White,25,Male,High School,Unemployed,34549.10348203169,0,2.869220743542784,1,0
Copiah County,White,71,Male,Bachelor's Degree,Employed,75758.05625100175,0,0.9354879087559446,1,0
Copiah County,White,27,Female,Less than High School,Unemployed,15308.378793965736,1,4.200491801312687,0,0
Copiah County,White,20,Female,Some College,Unemployed,35659.41756472248,2,4.2454677914138115,1,0
Copiah County,White,71,Female,Less than High School,Employed,74059.1466526509,2,4.392404113600539,1,0
Copiah County,Black,19,Male,High School,Employed,33834.010705945635,3,2.947570606146856,1,0
Copiah County,Black,41,Male,Less than High School,Unemployed,34756.85268461773,1,5.846421702951339,0,0
Copiah County,Black,43,Female,Less than High School,Unemployed,33749.07950428668,3,6.331695552890396,0,0
Copiah County,Black,28,Female,High School,Unemployed,36365.33962314333,2,2.904482124151811,1,1
Copiah County,White,69,Male,Less than High School,Unemployed,34460.571112582504,0,2.172302930241426,1,1
Copiah County,White,74,Female,Master's Degree,Employed,33790.60911528163,1,7.501777852580216,0,0
Copiah County,White,55,Male,Less than High School,Unemployed,71440.85819929313,1,2.957396416425011,1,0
Copiah County,White,60,Male,Some College,Employed,35510.37835200269,2,6.301045281349797,1,0
Copiah County,White,58,Male,Less than High School,Employed,15205.353476182116,1,6.305451448901619,1,1
Copiah County,Black,56,Male,Some College,Unemployed,14760.906249871938,3,7.364998190137492,0,1
Copiah County,White,59,Female,Some College,Unemployed,33500.991610966776,1,6.483063488015481,1,0
Copiah County,Black,65,Male,Bachelor's Degree,Employed,74322.21671171424,3,8.008403795916571,0,0
Copiah County,Black,60,Male,Some College,Employed,73584.13121297545,1,7.457040452550838,0,0
Copiah County,White,34,Female,High School,Employed,35619.92223907253,3,0.9640099202061224,1,0
Copiah County,Other,45,Female,Bachelor's Degree,Employed,75793.34437089517,2,7.553732519894681,0,0
Copiah County,Black,70,Female,Master's Degree,Employed,123307.42160246924,1,8.800563021721494,0,0
Copiah County,Black,33,Female,Master's Degree,Employed,72884.19415691242,0,7.217340242368477,0,0
Copiah County,Black,50,Female,Bachelor's Degree,Employed,36708.12588154457,1,7.567534766986968,0,0
Copiah County,White,62,Female,Less than High School,Employed,14931.002431794172,1,6.427801347500587,1,1
Copiah County,White,60,Female,Some College,Employed,76412.05676835177,1,1.927725455036166,1,0
Copiah County,White,31,Female,High School,Unemployed,33741.93538652426,3,6.540074360460967,1,0
Copiah County,Black,73,Female,High School,Employed,14978.384549489096,4,7.6308500057125785,0,1
Copiah County,White,36,Male,Some College,Unemployed,33346.37851954313,2,6.088125465747944,1,0
Copiah County,White,20,Male,Some College,Employed,35019.092912686574,1,6.158204654603759,1,0
Copiah County,White,34,Male,Master's Degree,Employed,78480.13055338277,1,5.938134626373984,0,0
Copiah County,White,66,Male,High School,Unemployed,14826.3100694787,2,5.751852926037678,1,1
Copiah County,Black,27,Female,Some College,Employed,71542.47009431184,0,1.9314658181479665,1,0
Copiah County,White,23,Female,High School,Employed,14296.433686379014,2,4.138014764861631,1,1
Copiah County,Black,18,Female,Less than High School,Employed,34607.95365981404,1,5.25237452943768,1,0
Copiah County,White,48,Male,Master's Degree,Employed,72450.18702347396,2,3.1749474262355095,1,0
Copiah County,White,46,Female,Bachelor's Degree,Employed,71425.1407224614,1,6.347541771353465,1,0
Copiah County,Black,53,Female,Master's Degree,Employed,76921.60210462632,0,3.6729648824389525,1,0
Copiah County,Black,50,Female,Less than High School,Unemployed,14937.784513322835,1,4.994420304702581,0,0
Copiah County,White,27,Female,Bachelor's Degree,Employed,73419.3357897949,1,1.8230235040066578,0,0
Copiah County,White,73,Male,Less than High School,Unemployed,130001.039787706,1,3.0297173293942414,0,0
Copiah County,White,40,Male,Some College,Employed,72121.04220150394,1,4.941530501373378,1,0
Copiah County,Black,55,Male,Bachelor's Degree,Employed,36595.71590134362,2,7.542785855861619,1,0
Copiah County,Black,54,Male,Some College,Unemployed,34348.883510820735,2,4.850915012552079,0,0
Copiah County,White,32,Male,High School,Employed,36359.41285308039,3,1.8468268065710425,0,0
Copiah County,White,32,Male,PhD,Employed,75772.07157359597,4,2.785795009231702,1,0
Copiah County,White,61,Female,High School,Unemployed,36143.47575909521,4,7.36611488440446,0,0
Copiah County,Black,21,Male,High School,Employed,36694.046071236626,1,7.165505288642765,0,0
Copiah County,White,64,Female,Less than High School,Unemployed,14682.608156728118,0,7.361796281796464,0,0
Copiah County,White,64,Male,Bachelor's Degree,Employed,130764.19356759492,2,6.4177495285609965,0,0
Copiah County,White,19,Female,High School,Employed,74171.11421176814,1,5.20096913145912,1,0
Copiah County,Black,70,Male,Some College,Unemployed,14828.267857105384,5,5.487315607637033,0,1
Copiah County,White,43,Female,Less than High School,Unemployed,14760.580656381759,2,3.1931160355742136,1,1
Copiah County,White,61,Female,High School,Employed,35144.92662571655,2,4.164993781725197,1,1
Copiah County,White,30,Male,High School,Employed,33789.5076511247,0,3.66507902451352,1,1
Copiah County,White,33,Male,Bachelor's Degree,Employed,125671.39356697512,1,5.50180525690223,0,0
Copiah County,Black,74,Male,High School,Employed,35145.96684343502,0,7.6812954099016455,0,0
Copiah County,White,63,Female,High School,Employed,35916.656344117044,2,4.874270795756121,1,0
Copiah County,White,70,Male,Some College,Unemployed,129170.62452421982,2,4.870642147066891,1,1
Copiah County,White,20,Female,Less than High School,Unemployed,74553.31012734318,1,4.250239653806002,0,1
Copiah County,Black,25,Female,Some College,Unemployed,34308.16637273023,1,2.1788994309535434,1,0
Copiah County,White,31,Female,Some College,Unemployed,34157.67214060983,3,5.4860010638228704,1,0
Copiah County,Black,58,Male,High School,Unemployed,14541.935755057308,1,7.354729459362518,0,1
Copiah County,Black,39,Male,Less than High School,Unemployed,71682.35686649269,2,3.901007668424733,0,0
Copiah County,Black,70,Female,Less than High School,Unemployed,14763.671968252069,1,5.500200860038403,0,1
Copiah County,Black,70,Male,Some College,Employed,34195.86692245774,1,5.277146915927437,0,0
Copiah County,White,65,Male,Less than High School,Unemployed,36632.46085053242,1,7.081765949630127,0,0
Copiah County,Black,60,Female,Bachelor's Degree,Employed,75432.81619687531,3,7.878755214795162,1,0
Copiah County,Black,35,Male,Bachelor's Degree,Employed,34465.46963660677,2,5.406354385094736,0,0
Copiah County,White,64,Female,High School,Employed,35281.63660347793,1,3.688957985844921,1,1
Copiah County,White,48,Male,Some College,Employed,14458.795052018542,2,2.9955750625745154,0,1
Copiah County,Black,55,Male,Bachelor's Degree,Employed,34804.15312220771,4,7.2181658316278705,0,1
Copiah County,Black,48,Male,Some College,Unemployed,15189.351482131595,6,6.956124898791777,0,0
Copiah County,Black,52,Male,Some College,Employed,34961.14241127358,0,2.7337819654091025,1,0
Copiah County,White,19,Male,Master's Degree,Employed,74263.34100490743,1,0.9237635832536144,1,0
Copiah County,Black,27,Female,Bachelor's Degree,Employed,131173.10486124622,3,4.617526246777105,0,0
Copiah County,Black,20,Male,Less than High School,Employed,15570.47214322339,1,10.298420604232128,0,1
Copiah County,Black,63,Female,High School,Unemployed,35431.92085355804,2,6.295253855118508,0,0
Copiah County,White,60,Male,Bachelor's Degree,Employed,35242.82076413799,2,7.116716271136023,0,0
Copiah County,White,63,Male,Some College,Unemployed,15180.990719736876,0,8.739476077559267,1,1
Copiah County,White,53,Female,Master's Degree,Employed,121266.40134778041,2,4.874870579523704,1,0
Copiah County,Black,36,Female,High School,Employed,34632.982101425114,2,0.9571424172563722,0,0
Copiah County,White,39,Female,Less than High School,Employed,119243.24416113624,6,5.3685991281894605,1,1
Copiah County,Black,19,Female,Some College,Unemployed,34914.411131203895,1,7.557753341631124,1,1
Copiah County,White,21,Female,High School,Employed,75322.68437968247,0,4.370578031552489,1,0
Copiah County,White,35,Male,High School,Employed,14591.624604154815,5,7.219447159503706,0,1
Copiah County,White,44,Female,Less than High School,Unemployed,36624.1009650793,3,5.469878826707639,1,0
Copiah County,White,33,Male,Some College,Unemployed,36433.091138280346,3,5.451791894340691,0,0
Copiah County,White,33,Male,High School,Employed,35777.50132409567,0,2.1564572454792286,1,0
Copiah County,White,61,Female,Less than High School,Employed,15050.079943148043,2,6.03324133090356,1,0
Copiah County,Black,61,Male,Less than High School,Employed,15554.953739471528,2,4.3943718368954405,1,1
Copiah County,Black,33,Female,Some College,Unemployed,72229.89257867596,0,5.4885558776824785,0,1
Copiah County,Black,35,Male,Some College,Employed,15435.764691412327,1,6.064625141281585,0,1
Copiah County,White,41,Male,Some College,Unemployed,33686.87284888397,1,8.750884056990559,0,1
Copiah County,White,34,Male,Some College,Employed,36029.73731892292,3,4.018478275336119,1,0
Copiah County,White,53,Female,Less than High School,Employed,14663.651352377035,2,8.20703782101642,0,1
Copiah County,White,58,Female,Bachelor's Degree,Employed,36319.81703356366,3,1.0391497377969234,1,0
Copiah County,White,60,Female,High School,Unemployed,15666.063140738099,2,5.945449277721329,1,0
Copiah County,Black,50,Male,High School,Employed,14473.193954107672,4,9.229604544151314,0,0
Copiah County,White,52,Female,Bachelor's Degree,Employed,74720.06703799045,2,5.084314311923101,1,0
Copiah County,Black,19,Male,Some College,Employed,36683.4558235694,1,5.40115801049099,0,0
Copiah County,Black,38,Female,High School,Unemployed,34941.92602590601,3,4.545446380341458,0,0
Copiah County,Black,36,Male,High School,Unemployed,15545.321283771817,2,4.780963189592231,0,1
Copiah County,White,42,Female,Some College,Unemployed,15133.09728319698,3,6.54049378089187,1,0
Copiah County,White,62,Female,Master's Degree,Employed,123441.62384899502,1,6.4683165406690994,1,0
Copiah County,White,54,Female,Bachelor's Degree,Employed,34250.24244434055,3,3.9645254022285705,1,0
Copiah County,White,42,Male,Less than High School,Employed,72774.17318314566,1,2.0480530391206146,1,0
Copiah County,White,27,Female,High School,Employed,76963.48643533271,1,4.777381182981133,1,0
Copiah County,White,52,Female,Less than High School,Employed,34602.8917738806,2,3.7504969277790092,1,0
Copiah County,White,20,Male,High School,Employed,35039.46411770263,2,8.934657128891969,0,1
Copiah County,White,62,Male,Bachelor's Degree,Employed,124904.06850001478,2,5.824022673631263,1,0
Copiah County,Black,57,Male,High School,Employed,75579.59271924848,2,5.083656111850871,0,0
Copiah County,Black,39,Male,Master's Degree,Employed,77741.82859218413,0,9.15546927392997,0,1
Copiah County,White,59,Male,High School,Employed,36682.587702542005,3,1.0948789615332333,1,0
Copiah County,Black,49,Female,Less than High School,Unemployed,14861.376312860724,3,10.972421488959206,1,1
Copiah County,White,49,Female,Less than High School,Employed,15491.278383159453,2,4.1585293712157965,1,0
Copiah County,White,62,Female,Some College,Employed,35925.847281291506,1,5.03609636634412,1,0
Copiah County,White,48,Female,Some College,Employed,35257.351330094505,0,4.809527616286328,1,1
Copiah County,Black,55,Male,Less than High School,Employed,36596.16500264176,1,8.502072031531117,0,1
Copiah County,Black,26,Female,Some College,Employed,72753.55886646302,3,4.147784938043103,1,0
Copiah County,White,75,Male,High School,Employed,72069.48157732215,1,1.8650467757379565,1,0
Copiah County,White,21,Male,Some College,Employed,15530.942950433131,0,4.328741747595074,1,1
Copiah County,Black,43,Male,Master's Degree,Employed,74543.6236247531,1,2.1290148971692675,1,0
Copiah County,White,70,Male,Master's Degree,Employed,36214.39098972471,3,4.359839930633539,1,0
Copiah County,White,35,Male,Some College,Unemployed,15589.635307793122,1,6.270863410066032,1,1
Copiah County,White,52,Male,Bachelor's Degree,Employed,71718.43195214303,2,4.090732156748632,1,0
Copiah County,White,63,Female,Some College,Employed,36342.126670451216,4,6.8855402508068675,0,0
Copiah County,White,33,Female,Less than High School,Employed,74612.39291527066,2,3.259637090012408,0,1
Copiah County,Black,40,Male,Some College,Employed,15015.648733506347,2,8.585702223200654,0,1
Copiah County,Black,60,Female,Less than High School,Employed,15189.888766639817,0,5.4542624041274275,0,0
Copiah County,Black,54,Male,Bachelor's Degree,Employed,78197.86955047565,2,4.526366974497252,0,1
Copiah County,White,34,Male,High School,Employed,71393.37070822323,0,6.82704871362927,0,0
Copiah County,Black,54,Female,Some College,Employed,34918.952139112356,1,5.310553330781833,1,0
Copiah County,White,51,Male,High School,Employed,35657.02714850696,0,7.682186581040922,0,0
Copiah County,Black,30,Female,Some College,Employed,35779.4743519438,0,2.790250134662117,0,0
Copiah County,Black,53,Female,Master's Degree,Employed,76443.9932365283,2,5.094130715352136,0,0
Copiah County,White,74,Male,Some College,Unemployed,33720.522952928426,3,3.9047126853048173,0,0
Copiah County,White,21,Male,High School,Unemployed,14699.093382557521,0,2.1879657591258415,1,0
Copiah County,Black,33,Male,High School,Employed,123233.94406771267,0,7.478966492389993,0,0
Copiah County,White,55,Female,Some College,Employed,36065.53022687826,2,2.1353314818844553,1,0
Copiah County,White,28,Female,High School,Employed,34225.65955345093,0,2.981215895876982,1,0
Copiah County,White,48,Female,Bachelor's Degree,Employed,72830.28722900402,2,4.914819502337665,1,1
Copiah County,White,29,Male,High School,Employed,36601.068066633336,1,6.682769900702989,0,0
Copiah County,White,55,Male,Some College,Unemployed,14263.294927670202,2,3.645100397320742,1,0
Copiah County,Black,38,Male,Master's Degree,Employed,36742.37299488692,1,3.218833425753032,1,0
Copiah County,White,30,Female,Less than High School,Employed,35618.87454600088,0,1.0625802018260155,1,0
Copiah County,Black,20,Female,High School,Employed,36149.64254807191,4,6.599661207943357,0,1
Copiah County,Black,48,Male,High School,Employed,14691.929094519288,3,6.595964204488686,0,1
Copiah County,Black,72,Male,Some College,Employed,33300.10347183471,0,3.033259023361577,1,0
Copiah County,Black,30,Female,Bachelor's Degree,Employed,15356.804277842293,1,5.2689874151805105,0,0
Copiah County,White,21,Male,Bachelor's Degree,Employed,77506.08447750506,3,5.444765729882429,1,0
Copiah County,Black,65,Female,Bachelor's Degree,Employed,76803.57098965139,4,6.419576868812895,0,1
Copiah County,White,40,Female,Some College,Employed,14464.275430951257,1,7.595756962789117,0,0
Copiah County,White,65,Female,Some College,Unemployed,35886.99772789939,2,1.9802176541240375,1,0
Copiah County,White,34,Female,Some College,Employed,35941.22973737674,0,3.7033275321211963,1,0
Copiah County,White,67,Female,High School,Unemployed,35554.89180484519,1,5.454051027258723,1,0
Copiah County,White,65,Female,High School,Employed,15399.173899193378,2,4.084939707560704,1,1
Copiah County,White,40,Male,Some College,Employed,36210.725038872064,7,5.674371366604156,1,1
Copiah County,White,44,Male,Less than High School,Employed,126420.05142796822,1,9.309061231930542,0,0
Copiah County,Black,29,Female,High School,Employed,14382.907070954518,0,4.094502592366316,0,1
Copiah County,Black,39,Female,Master's Degree,Employed,34956.69733383523,1,5.829795261639409,0,0
Copiah County,White,47,Female,Master's Degree,Employed,33521.77267135062,0,1.8454230368798517,1,0
Copiah County,White,70,Male,Less than High School,Employed,34676.400608613505,0,6.20588783471136,1,0
Copiah County,White,40,Male,Less than High School,Employed,14860.659733688442,1,9.036553861626828,0,1
Copiah County,White,54,Female,Bachelor's Degree,Employed,119575.123051753,4,6.326782070082768,1,0
Copiah County,White,43,Female,Less than High School,Employed,73866.15400477109,2,8.03226160177919,1,1
Copiah County,White,65,Male,Bachelor's Degree,Employed,72082.48574093486,1,3.211308900191124,1,0
Copiah County,White,28,Female,High School,Employed,36078.82323503228,0,4.041525471019589,1,0
Copiah County,Black,23,Female,High School,Employed,36566.908090875644,0,5.060937971535386,1,0
Copiah County,Black,65,Male,High School,Employed,14358.474712886908,2,9.677976484785022,0,1
Copiah County,White,61,Female,Bachelor's Degree,Employed,36592.90322552095,2,0.9806965732424795,1,0
Copiah County,White,27,Male,Less than High School,Employed,75169.32449502559,2,6.487621319830897,0,0
Copiah County,Black,39,Male,Some College,Unemployed,34298.47987283856,4,6.340295746838675,0,1
Copiah County,White,52,Male,Master's Degree,Employed,33519.01726346657,2,3.153082353404171,1,0
Copiah County,Black,64,Female,Bachelor's Degree,Employed,75004.68201052812,0,4.096247641082772,0,0
Copiah County,White,71,Female,Some College,Employed,15441.773316736122,3,5.2040797680992235,1,1
Copiah County,White,22,Male,Some College,Employed,35724.80267043344,1,3.7703713292071286,1,0
Copiah County,Black,48,Female,Some College,Employed,71626.69508597981,1,5.563645770704124,0,0
Copiah County,White,36,Female,Bachelor's Degree,Employed,119661.27294209879,4,2.708726799400729,1,1
Copiah County,White,62,Male,High School,Employed,34660.05648921423,0,6.790822582329236,0,0
Copiah County,Black,18,Female,Less than High School,Unemployed,34283.5167291678,0,5.089917686854633,0,0
Copiah County,White,70,Male,High School,Employed,121654.80403820059,2,5.870692854119679,1,0
Copiah County,White,71,Male,Master's Degree,Employed,122262.55623635891,2,0.9874949844047458,1,0
Copiah County,White,21,Female,Some College,Unemployed,15455.224114945326,2,9.727485650088747,0,1
Copiah County,White,40,Male,Some College,Employed,36502.29818771149,2,2.9089532802139804,1,0
Copiah County,White,49,Male,Less than High School,Unemployed,34667.85943084648,3,2.0055957956639245,1,0
Copiah County,White,72,Female,High School,Employed,36421.38850746374,1,6.3403836152893716,1,0
Copiah County,White,47,Male,Less than High School,Employed,14732.243551871823,2,4.89654278232127,1,1
Copiah County,White,44,Male,High School,Unemployed,14964.655479515686,1,6.146504040273449,0,1
Copiah County,White,27,Female,Less than High School,Unemployed,14589.043496724,1,5.362363708746746,1,0
Copiah County,White,54,Female,Less than High School,Unemployed,35491.666147615455,9,6.5394247483891705,1,0
Copiah County,White,65,Male,High School,Employed,15718.471672762213,1,4.647073480929038,1,0
Copiah County,Black,46,Female,Less than High School,Unemployed,15155.239644065068,2,7.597222675226092,0,0
Copiah County,White,60,Male,High School,Unemployed,14786.721126170323,1,5.990539551695446,1,0
Copiah County,White,25,Male,High School,Unemployed,15221.726168985791,1,5.70989326595875,1,1
Copiah County,Black,44,Male,Some College,Employed,33680.22237462886,3,4.959135756238261,0,0
Copiah County,White,38,Male,Some College,Employed,36360.3067809289,2,5.4800325752854775,1,0
Copiah County,Black,64,Male,High School,Unemployed,35010.79382772943,1,4.99261809399287,0,0
Copiah County,White,25,Female,Less than High School,Employed,34822.724097138744,1,4.828751610287508,1,0
Copiah County,White,35,Male,Some College,Employed,15128.797182680277,2,5.133400854316726,0,1
Copiah County,White,37,Female,Some College,Unemployed,35436.7435197629,2,2.844087371266916,1,0
Copiah County,White,30,Female,High School,Employed,71788.31854669884,0,4.575863328108664,1,0
Copiah County,White,67,Male,High School,Employed,15273.925831835104,3,4.628879721910649,1,1
Copiah County,White,71,Female,High School,Employed,34096.760881104354,1,5.553655006749327,1,0
Copiah County,White,54,Male,High School,Employed,76604.64474379942,1,0.9303805387024588,1,0
Copiah County,White,22,Male,High School,Employed,77419.01095788147,3,2.783296303589646,1,1
Copiah County,Black,75,Male,High School,Unemployed,36063.85477643382,4,7.1972246427245,1,1
Copiah County,White,49,Female,High School,Unemployed,15078.751451111833,4,2.8091280506394867,1,0
Copiah County,White,50,Female,Some College,Unemployed,35070.59462308763,3,3.8765338266590907,1,0
Copiah County,Black,40,Female,Master's Degree,Employed,72321.56971004559,3,7.555503773868418,0,0
Copiah County,Black,41,Male,Less than High School,Employed,77065.09612802352,0,5.968753968315447,0,0
Copiah County,White,42,Male,Less than High School,Unemployed,34199.9328315635,2,3.100534643112616,1,0
Copiah County,Other,52,Female,Some College,Employed,14995.043134226918,1,1.868927948480652,1,1
Copiah County,White,31,Female,High School,Unemployed,14676.411139391274,3,7.507662430093873,0,1
Copiah County,White,58,Male,High School,Unemployed,14450.742544499539,1,5.4490423395197745,0,1
Copiah County,White,34,Female,Some College,Employed,126619.4712111467,1,4.668935063072165,1,0
Copiah County,Black,47,Male,High School,Employed,14331.498052234356,2,6.690026474644743,0,1
Copiah County,Black,28,Female,Less than High School,Employed,35870.258319441695,4,3.7416083874213975,1,0
Copiah County,Black,70,Male,High School,Employed,34361.5537834139,3,9.177405067514112,0,1
Copiah County,White,75,Male,Some College,Unemployed,33250.471425515694,2,3.6965086968804806,1,0
Copiah County,Black,50,Female,Less than High School,Unemployed,35038.9519873303,2,6.945090275245816,0,0
Copiah County,Black,72,Female,High School,Unemployed,33413.98167984661,5,2.8238002310434753,1,1
Copiah County,White,30,Male,High School,Unemployed,14664.25433673135,0,3.8914158888384605,1,1
Copiah County,White,59,Male,High School,Employed,15310.464731183574,6,8.005467633367772,0,0
Copiah County,White,75,Male,High School,Employed,33469.41367567653,0,6.228473794355239,1,1
Copiah County,Black,26,Female,Less than High School,Unemployed,77545.03869267002,2,5.447174567809319,1,0
Copiah County,Black,70,Female,Master's Degree,Employed,71278.64941993938,2,4.239528319127234,1,0
